Created_At,From_User,Tweet_Text
"Tue, 03 Jul 2012 03:51:04 +0000",DamienDoccupy,"RT @AnonymousIRC: http://t.co/eXT9LNYe So now Twitter gets a subpoena because an #OWS protestor allegedly disregarded police orders? dafuq, USA. #Anonymous"
"Tue, 03 Jul 2012 03:38:19 +0000",Takahir0_Ishii,RT @AnonymousIRC: ACShttp://t.co/k58TnH0x #OpJapan #OpACS #Anonymous
"Tue, 03 Jul 2012 03:36:00 +0000",monsterevo4,RT @AnonymousIRC: ACShttp://t.co/k58TnH0x #OpJapan #OpACS #Anonymous
"Tue, 03 Jul 2012 03:35:49 +0000",niroyuko,RT @AnonymousIRC: ACShttp://t.co/k58TnH0x #OpJapan #OpACS #Anonymous
"Tue, 03 Jul 2012 03:33:11 +0000",thunderkilla,RT @AnonymousIRC:  | IRC http://t.co/QJO1e8xg  # | #OpJapan #Anonymous
"Tue, 03 Jul 2012 03:32:44 +0000",watanabe_tanaka,"RT @AnonymousIRC: Anonymous| Not sure what this means, like in an Asian Tattoo shop! #Anonymous"
"Tue, 03 Jul 2012 03:31:49 +0000",johnnybravo2415,RT @AnonymousIRC: We know that Mexico is all corrupt what do? http://t.co/8K0EIfCR channel: #opmexico. YOU try to help! #anonymous
"Tue, 03 Jul 2012 03:30:38 +0000",Anonymous_SA,RT @AnonymousIRC: We know that Mexico is all corrupt what do? http://t.co/HpBwWUIq channel: #opmexico. YOU try to help! #anonymous
"Tue, 03 Jul 2012 03:30:00 +0000",Anonymous_SA,"RT @AnonymousIRC: We like the new site from our Japanese wing: http://t.co/J7gW3Xty Well done, guise! #OpJapan #OpACS #Anonymous"
"Tue, 03 Jul 2012 03:27:28 +0000",dubdisco,RT @AnonymousIRC: ACShttp://t.co/k58TnH0x #OpJapan #OpACS #Anonymous
"Tue, 03 Jul 2012 03:36:43 +0000",stillcantfindme,"RT @AnonymousIRC: You know very well what you should do, @Stratfor: Sue the FBI. Ofc, you'll lose. Doesn't change the fact that it was them who sold you out."
