Created_At,From_User,Tweet_Text
"Tue, 03 Jul 2012 03:57:12 +0000",tagoritao,RT @cubadebate: Anonymous hackea al Instituto Federal Electoral de #Mexico http://t.co/Ihmmy1cl @ciberguerra #elecciones
"Tue, 03 Jul 2012 03:57:12 +0000",Daniela_Mtzz,Anonymous Manual de la Primavera Mexicana I http://t.co/XJpmikW9 va @youtube
"Tue, 03 Jul 2012 03:57:10 +0000",imfamoy,"RT @Mahdi_Yusuf: @imfamoy Happy Birthday ya Fatimah :D, Semoga panjang umur, sehat selalu, dan makin +++ ya :D #Anonymous"
"Tue, 03 Jul 2012 03:57:08 +0000",oscartrevino,"RT @UfoVenezuela: Anonymous hackea al IFE,muestra verdaderos resultados electorales y Lopez Obrador Denuncia Fraude Electoral http://t.co/lM4C4xpm"
"Tue, 03 Jul 2012 03:57:07 +0000",AnonFlame,RT @AnonCircle: Image: The liberties of our country... | http://t.co/6JTmqZ5e #Anonymous
"Tue, 03 Jul 2012 03:57:07 +0000",F00DandUNIC0RNS,Anonymous asked: so you like both guys and girls? or just girls? http://t.co/x9c1AnSh
"Tue, 03 Jul 2012 03:57:01 +0000",Davidgucr,Despus de las elecciones #yosoy132 y Anonymous empiezan a tener color ... Una tonalidad amarilla creo yo
"Tue, 03 Jul 2012 03:56:58 +0000",tagoritao,RT @wikinoticias: Anonymous hacke el servidor que aloja el Programa de Resultados Electorales Preliminares de Mxico
"Tue, 03 Jul 2012 03:56:57 +0000",StinkerGod,"Anonymous. No s porque siempre se me pasa ponerles una E. De cualquier forma son como ""hackers"" de chocolate."
"Tue, 03 Jul 2012 03:57:13 +0000",ChristianBassis,@marcacia g kok ahahhaha bercanda ibu cia cia cia akwkawk
"Tue, 03 Jul 2012 03:57:09 +0000",Cail_smith,CIA ain't got shit on a woman with a plan
"Tue, 03 Jul 2012 03:57:04 +0000",TsukiokaAkiko,@usagi7080 @007&amp;CIA
"Tue, 03 Jul 2012 03:56:41 +0000",Roquevs,"RT @ignaciozt: @dani_da_rosa: Si sres. El Chelo Estigarribia con Messi , aguero , drogba y cia!!!! Lo anuncir hace unos dias. en la original no aparece!"
"Tue, 03 Jul 2012 03:56:40 +0000",mya2_,"RT @flyingmeme: CIA http://t.co/CsGumpt1


LAN3"
"Tue, 03 Jul 2012 03:56:39 +0000",exxdrogada,@joaotwittor vdd mas se verem tb nem ligo pq eles n me conhecem e eu n vo entrar pra lista de procurados da CIA por causa disso rsrrsrsr
"Tue, 03 Jul 2012 03:56:35 +0000",bspiaggi,"""@dani_da_rosa: Si sres. El Chelo Estigarribia con Messi , aguero , drogba y cia!!!! Lo anuncir hace unos dias.""@TigreCuenca"
"Tue, 03 Jul 2012 03:56:34 +0000",zalrijal,Se-cia tpi bikin ketawa :D RT @CepNchur: RT @riky_oct: Cia cia cia cia cia 
"Tue, 03 Jul 2012 03:56:27 +0000",_natasshaFBR,Biar dikira km nembak cia :pRT @StarDynasty: @celiachintara admin @_natasshaFBR fitnah saya :p #R
"Tue, 03 Jul 2012 03:56:26 +0000",DodyLSilalahi,"jangan klen nodai keplosan ku..!! zzz RT @rrind @khagoma wayo kau dod @DodyLSilalahi, kenak gap mincek RT: @khagoma: Sok polos kw dod, polos"
